File,TimeStamp,NBT,NBL
NB_MAY_4.csv,2026/05/04 22:15:00.000,20,1
NB_MAY_4.csv,2026/05/04 22:30:00.000,19,1
NB_MAY_4.csv,2026/05/04 22:45:00.000,16,0
NB_MAY_5.csv,2026/05/05 00:00:00.000,7,0
NB_MAY_5.csv,2026/05/05 00:15:00.000,4,1
NB_MAY_5.csv,2026/05/05 00:30:00.000,2,1
NB_MAY_5.csv,2026/05/05 00:45:00.000,6,0
NB_MAY_5.csv,2026/05/05 01:00:00.000,2,0
NB_MAY_5.csv,2026/05/05 01:15:00.000,2,0
NB_MAY_5.csv,2026/05/05 01:30:00.000,4,0
NB_MAY_5.csv,2026/05/05 01:45:00.000,4,0
NB_MAY_5.csv,2026/05/05 02:15:00.000,2,0
NB_MAY_5.csv,2026/05/05 02:30:00.000,2,0
NB_MAY_5.csv,2026/05/05 02:45:00.000,6,2
NB_MAY_5.csv,2026/05/05 03:00:00.000,6,0
NB_MAY_5.csv,2026/05/05 03:15:00.000,27,0
NB_MAY_5.csv,2026/05/05 03:30:00.000,7,1
NB_MAY_5.csv,2026/05/05 03:45:00.000,4,0
NB_MAY_5.csv,2026/05/05 04:00:00.000,7,0
NB_MAY_5.csv,2026/05/05 04:15:00.000,13,0
NB_MAY_5.csv,2026/05/05 04:30:00.000,10,0
NB_MAY_5.csv,2026/05/05 04:45:00.000,12,0
NB_MAY_5.csv,2026/05/05 05:00:00.000,13,0
NB_MAY_5.csv,2026/05/05 05:15:00.000,8,0
NB_MAY_5.csv,2026/05/05 05:30:00.000,24,1
NB_MAY_5.csv,2026/05/05 05:45:00.000,51,0
NB_MAY_5.csv,2026/05/05 06:00:00.000,29,0
NB_MAY_5.csv,2026/05/05 06:15:00.000,58,1
NB_MAY_5.csv,2026/05/05 06:30:00.000,87,1
NB_MAY_5.csv,2026/05/05 06:45:00.000,118,4
NB_MAY_5.csv,2026/05/05 07:00:00.000,111,5
NB_MAY_5.csv,2026/05/05 07:15:00.000,173,16
NB_MAY_5.csv,2026/05/05 07:30:00.000,218,13
NB_MAY_5.csv,2026/05/05 07:45:00.000,221,22
NB_MAY_5.csv,2026/05/05 08:00:00.000,179,22
NB_MAY_5.csv,2026/05/05 08:15:00.000,157,29
NB_MAY_5.csv,2026/05/05 08:30:00.000,146,20
NB_MAY_5.csv,2026/05/05 08:45:00.000,124,11
NB_MAY_5.csv,2026/05/05 09:00:00.000,120,15
NB_MAY_5.csv,2026/05/05 09:15:00.000,110,7
NB_MAY_5.csv,2026/05/05 09:30:00.000,99,3
NB_MAY_5.csv,2026/05/05 09:45:00.000,86,5
NB_MAY_5.csv,2026/05/05 10:00:00.000,84,6
NB_MAY_5.csv,2026/05/05 10:15:00.000,101,5
NB_MAY_5.csv,2026/05/05 10:30:00.000,112,1
NB_MAY_5.csv,2026/05/05 10:45:00.000,91,5
NB_MAY_5.csv,2026/05/05 11:00:00.000,93,7
NB_MAY_5.csv,2026/05/05 11:15:00.000,95,4
NB_MAY_5.csv,2026/05/05 11:30:00.000,114,5
NB_MAY_5.csv,2026/05/05 11:45:00.000,129,8
NB_MAY_5.csv,2026/05/05 12:00:00.000,109,12
NB_MAY_5.csv,2026/05/05 12:15:00.000,87,9
NB_MAY_5.csv,2026/05/05 12:30:00.000,111,9
NB_MAY_5.csv,2026/05/05 12:45:00.000,100,6
NB_MAY_5.csv,2026/05/05 13:00:00.000,79,4
NB_MAY_5.csv,2026/05/05 13:15:00.000,103,3
NB_MAY_5.csv,2026/05/05 13:30:00.000,89,4
NB_MAY_5.csv,2026/05/05 13:45:00.000,101,3
NB_MAY_5.csv,2026/05/05 14:00:00.000,107,7
NB_MAY_5.csv,2026/05/05 14:15:00.000,96,7
NB_MAY_5.csv,2026/05/05 14:30:00.000,108,7
NB_MAY_5.csv,2026/05/05 14:45:00.000,106,13
NB_MAY_5.csv,2026/05/05 15:00:00.000,100,8
NB_MAY_5.csv,2026/05/05 15:15:00.000,94,6
NB_MAY_5.csv,2026/05/05 15:30:00.000,108,3
NB_MAY_5.csv,2026/05/05 15:45:00.000,109,6
NB_MAY_5.csv,2026/05/05 16:00:00.000,114,5
NB_MAY_5.csv,2026/05/05 16:15:00.000,127,6
NB_MAY_5.csv,2026/05/05 16:30:00.000,132,6
NB_MAY_5.csv,2026/05/05 16:45:00.000,126,10
NB_MAY_5.csv,2026/05/05 17:00:00.000,140,6
NB_MAY_5.csv,2026/05/05 17:15:00.000,138,3
NB_MAY_5.csv,2026/05/05 17:30:00.000,97,6
NB_MAY_5.csv,2026/05/05 17:45:00.000,132,10
NB_MAY_5.csv,2026/05/05 18:00:00.000,106,6
NB_MAY_5.csv,2026/05/05 18:15:00.000,102,3
NB_MAY_5.csv,2026/05/05 18:30:00.000,93,1
NB_MAY_5.csv,2026/05/05 18:45:00.000,91,3
NB_MAY_5.csv,2026/05/05 19:00:00.000,86,1
NB_MAY_5.csv,2026/05/05 19:15:00.000,87,2
NB_MAY_5.csv,2026/05/05 19:30:00.000,79,2
NB_MAY_5.csv,2026/05/05 19:45:00.000,64,2
NB_MAY_5.csv,2026/05/05 20:00:00.000,61,4
NB_MAY_5.csv,2026/05/05 20:15:00.000,47,3
NB_MAY_5.csv,2026/05/05 20:30:00.000,54,6
NB_MAY_5.csv,2026/05/05 20:45:00.000,53,1
NB_MAY_5.csv,2026/05/05 21:00:00.000,38,3
NB_MAY_5.csv,2026/05/05 21:15:00.000,38,2
NB_MAY_5.csv,2026/05/05 21:30:00.000,34,4
NB_MAY_5.csv,2026/05/05 21:45:00.000,27,4
NB_MAY_5.csv,2026/05/05 22:00:00.000,29,2
NB_MAY_5.csv,2026/05/05 22:15:00.000,19,1
NB_MAY_5.csv,2026/05/05 22:30:00.000,15,2
NB_MAY_5.csv,2026/05/05 22:45:00.000,22,0
NB_MAY_6.csv,2026/05/06 00:00:00.000,6,1
NB_MAY_6.csv,2026/05/06 00:15:00.000,5,0
NB_MAY_6.csv,2026/05/06 00:30:00.000,4,0
NB_MAY_6.csv,2026/05/06 00:45:00.000,7,1
NB_MAY_6.csv,2026/05/06 01:00:00.000,7,0
NB_MAY_6.csv,2026/05/06 01:15:00.000,6,0
NB_MAY_6.csv,2026/05/06 01:30:00.000,9,0
NB_MAY_6.csv,2026/05/06 01:45:00.000,3,0
NB_MAY_6.csv,2026/05/06 02:00:00.000,4,1
NB_MAY_6.csv,2026/05/06 02:30:00.000,1,0
NB_MAY_6.csv,2026/05/06 02:45:00.000,5,1
NB_MAY_6.csv,2026/05/06 03:00:00.000,9,1
NB_MAY_6.csv,2026/05/06 03:15:00.000,20,1
NB_MAY_6.csv,2026/05/06 03:30:00.000,8,0
NB_MAY_6.csv,2026/05/06 03:45:00.000,8,0
NB_MAY_6.csv,2026/05/06 04:00:00.000,5,0
NB_MAY_6.csv,2026/05/06 04:15:00.000,14,0
NB_MAY_6.csv,2026/05/06 04:30:00.000,13,0
NB_MAY_6.csv,2026/05/06 04:45:00.000,17,0
NB_MAY_6.csv,2026/05/06 05:00:00.000,13,0
NB_MAY_6.csv,2026/05/06 05:15:00.000,10,0
NB_MAY_6.csv,2026/05/06 05:30:00.000,33,1
NB_MAY_6.csv,2026/05/06 05:45:00.000,48,0
NB_MAY_6.csv,2026/05/06 06:00:00.000,30,1
NB_MAY_6.csv,2026/05/06 06:15:00.000,63,2
NB_MAY_6.csv,2026/05/06 06:30:00.000,86,2
NB_MAY_6.csv,2026/05/06 06:45:00.000,119,5
NB_MAY_6.csv,2026/05/06 07:00:00.000,146,3
NB_MAY_6.csv,2026/05/06 07:15:00.000,218,16
NB_MAY_6.csv,2026/05/06 07:30:00.000,282,18
NB_MAY_6.csv,2026/05/06 07:45:00.000,273,29
NB_MAY_6.csv,2026/05/06 08:00:00.000,185,25
NB_MAY_6.csv,2026/05/06 08:15:00.000,150,24
NB_MAY_6.csv,2026/05/06 08:30:00.000,107,13
NB_MAY_6.csv,2026/05/06 08:45:00.000,146,19
NB_MAY_6.csv,2026/05/06 09:00:00.000,97,8
NB_MAY_6.csv,2026/05/06 09:15:00.000,93,8
NB_MAY_6.csv,2026/05/06 09:30:00.000,98,5
NB_MAY_6.csv,2026/05/06 09:45:00.000,121,7
NB_MAY_6.csv,2026/05/06 10:00:00.000,82,4
NB_MAY_6.csv,2026/05/06 10:15:00.000,93,5
NB_MAY_6.csv,2026/05/06 10:30:00.000,92,6
NB_MAY_6.csv,2026/05/06 10:45:00.000,116,5
NB_MAY_6.csv,2026/05/06 11:00:00.000,94,4
NB_MAY_6.csv,2026/05/06 11:15:00.000,107,7
NB_MAY_6.csv,2026/05/06 11:30:00.000,128,2
NB_MAY_6.csv,2026/05/06 11:45:00.000,128,10
NB_MAY_6.csv,2026/05/06 12:00:00.000,110,4
NB_MAY_6.csv,2026/05/06 12:15:00.000,94,3
NB_MAY_6.csv,2026/05/06 12:30:00.000,112,4
NB_MAY_6.csv,2026/05/06 12:45:00.000,106,12
NB_MAY_6.csv,2026/05/06 13:00:00.000,108,9
NB_MAY_6.csv,2026/05/06 13:15:00.000,106,9
NB_MAY_6.csv,2026/05/06 13:30:00.000,97,5
NB_MAY_6.csv,2026/05/06 13:45:00.000,107,2
NB_MAY_6.csv,2026/05/06 14:00:00.000,107,8
NB_MAY_6.csv,2026/05/06 14:15:00.000,97,5
NB_MAY_6.csv,2026/05/06 14:30:00.000,92,9
NB_MAY_6.csv,2026/05/06 14:45:00.000,113,8
NB_MAY_6.csv,2026/05/06 15:00:00.000,91,9
NB_MAY_6.csv,2026/05/06 15:15:00.000,99,5
NB_MAY_6.csv,2026/05/06 15:30:00.000,92,5
NB_MAY_6.csv,2026/05/06 15:45:00.000,120,5
NB_MAY_6.csv,2026/05/06 16:00:00.000,105,5
NB_MAY_6.csv,2026/05/06 16:15:00.000,138,2
NB_MAY_6.csv,2026/05/06 16:30:00.000,148,6
NB_MAY_6.csv,2026/05/06 16:45:00.000,126,2
NB_MAY_6.csv,2026/05/06 17:00:00.000,131,3
NB_MAY_6.csv,2026/05/06 17:15:00.000,135,3
NB_MAY_6.csv,2026/05/06 17:30:00.000,106,5
NB_MAY_6.csv,2026/05/06 17:45:00.000,113,4
NB_MAY_6.csv,2026/05/06 18:00:00.000,113,3
NB_MAY_6.csv,2026/05/06 18:15:00.000,109,4
NB_MAY_6.csv,2026/05/06 18:30:00.000,92,4
NB_MAY_6.csv,2026/05/06 18:45:00.000,90,2
