File,Hour,SBL
SB_June_11.csv,15,17
SB_June_11.csv,16,26
SB_June_11.csv,17,39
SB_June_11.csv,18,23
SB_June_11.csv,19,23
SB_June_11.csv,20,14
SB_June_11.csv,21,15
SB_June_11.csv,22,8
SB_June_12.csv,0,3
SB_June_12.csv,1,0
SB_June_12.csv,2,2
SB_June_12.csv,3,1
SB_June_12.csv,4,0
SB_June_12.csv,5,0
SB_June_12.csv,6,3
SB_June_12.csv,7,10
SB_June_12.csv,8,13
SB_June_12.csv,9,23
SB_June_12.csv,10,18
SB_June_12.csv,11,18
SB_June_12.csv,12,24
SB_June_12.csv,13,21
SB_June_12.csv,14,18
SB_June_12.csv,15,26
SB_June_12.csv,16,28
SB_June_12.csv,17,29
SB_June_12.csv,18,24
SB_June_12.csv,19,33
SB_June_12.csv,20,18
SB_June_12.csv,21,15
SB_June_12.csv,22,13
TOTAL,,3143
