File,Hour,NBT
NB_MAY_13.csv,13,381
NB_MAY_13.csv,14,433
NB_MAY_13.csv,15,449
NB_MAY_13.csv,16,522
NB_MAY_13.csv,17,514
NB_MAY_13.csv,18,336
NB_MAY_13.csv,19,289
NB_MAY_13.csv,20,248
NB_MAY_13.csv,21,144
NB_MAY_13.csv,22,67
NB_MAY_14.csv,0,19
NB_MAY_14.csv,1,12
NB_MAY_14.csv,2,11
NB_MAY_14.csv,3,47
NB_MAY_14.csv,4,55
NB_MAY_14.csv,5,79
NB_MAY_14.csv,6,284
NB_MAY_14.csv,7,711
NB_MAY_14.csv,8,548
NB_MAY_14.csv,9,415
NB_MAY_14.csv,10,402
NB_MAY_14.csv,11,451
NB_MAY_14.csv,12,438
NB_MAY_14.csv,13,418
NB_MAY_14.csv,14,443
NB_MAY_14.csv,15,456
NB_MAY_14.csv,16,479
NB_MAY_14.csv,17,521
NB_MAY_14.csv,18,408
NB_MAY_14.csv,19,301
NB_MAY_14.csv,20,178
NB_MAY_14.csv,21,140
NB_MAY_14.csv,22,71
NB_MAY_15.csv,0,29
NB_MAY_15.csv,1,19
NB_MAY_15.csv,2,7
NB_MAY_15.csv,3,37
NB_MAY_15.csv,4,32
NB_MAY_15.csv,5,86
NB_MAY_15.csv,6,259
NB_MAY_15.csv,7,441
NB_MAY_15.csv,8,371
NB_MAY_15.csv,9,438
NB_MAY_15.csv,10,451
NB_MAY_15.csv,11,479
NB_MAY_15.csv,12,457
NB_MAY_15.csv,13,465
NB_MAY_15.csv,14,495
NB_MAY_15.csv,15,517
NB_MAY_15.csv,16,524
NB_MAY_15.csv,17,505
NB_MAY_15.csv,18,434
NB_MAY_15.csv,19,377
NB_MAY_15.csv,20,267
NB_MAY_15.csv,21,154
NB_MAY_15.csv,22,132
TOTAL,,68562
