File,Hour,NBT
NB_June_11.csv,15,444
NB_June_11.csv,16,559
NB_June_11.csv,17,521
NB_June_11.csv,18,406
NB_June_11.csv,19,303
NB_June_11.csv,20,261
NB_June_11.csv,21,170
NB_June_11.csv,22,94
NB_June_12.csv,0,26
NB_June_12.csv,1,18
NB_June_12.csv,2,12
NB_June_12.csv,3,44
NB_June_12.csv,4,34
NB_June_12.csv,5,102
NB_June_12.csv,6,250
NB_June_12.csv,7,390
NB_June_12.csv,8,357
NB_June_12.csv,9,395
NB_June_12.csv,10,413
NB_June_12.csv,11,532
NB_June_12.csv,12,529
NB_June_12.csv,13,519
NB_June_12.csv,14,520
NB_June_12.csv,15,491
NB_June_12.csv,16,543
NB_June_12.csv,17,522
NB_June_12.csv,18,415
NB_June_12.csv,19,382
NB_June_12.csv,20,284
NB_June_12.csv,21,174
NB_June_12.csv,22,121
TOTAL,,73693
