File,Hour,SBL
SB_MAY_13.csv,13,22
SB_MAY_13.csv,14,20
SB_MAY_13.csv,15,20
SB_MAY_13.csv,16,27
SB_MAY_13.csv,17,32
SB_MAY_13.csv,18,23
SB_MAY_13.csv,19,15
SB_MAY_13.csv,20,16
SB_MAY_13.csv,21,14
SB_MAY_13.csv,22,9
SB_MAY_14.csv,0,3
SB_MAY_14.csv,1,3
SB_MAY_14.csv,2,1
SB_MAY_14.csv,3,1
SB_MAY_14.csv,4,0
SB_MAY_14.csv,5,1
SB_MAY_14.csv,6,7
SB_MAY_14.csv,7,10
SB_MAY_14.csv,8,18
SB_MAY_14.csv,9,12
SB_MAY_14.csv,10,12
SB_MAY_14.csv,11,23
SB_MAY_14.csv,12,18
SB_MAY_14.csv,13,26
SB_MAY_14.csv,14,17
SB_MAY_14.csv,15,24
SB_MAY_14.csv,16,32
SB_MAY_14.csv,17,30
SB_MAY_14.csv,18,21
SB_MAY_14.csv,19,19
SB_MAY_14.csv,20,24
SB_MAY_14.csv,21,15
SB_MAY_14.csv,22,9
SB_MAY_15.csv,0,0
SB_MAY_15.csv,1,0
SB_MAY_15.csv,2,0
SB_MAY_15.csv,3,0
SB_MAY_15.csv,4,2
SB_MAY_15.csv,5,1
SB_MAY_15.csv,6,3
SB_MAY_15.csv,7,9
SB_MAY_15.csv,8,13
SB_MAY_15.csv,9,19
SB_MAY_15.csv,10,13
SB_MAY_15.csv,11,23
SB_MAY_15.csv,12,20
SB_MAY_15.csv,13,27
SB_MAY_15.csv,14,17
SB_MAY_15.csv,15,29
SB_MAY_15.csv,16,32
SB_MAY_15.csv,17,20
SB_MAY_15.csv,18,24
SB_MAY_15.csv,19,18
SB_MAY_15.csv,20,19
SB_MAY_15.csv,21,11
SB_MAY_15.csv,22,17
TOTAL,,2987
